Timestamp_s,Flow_Rate_L_s,Pressure_kPa,Fuel_Quantity_L,Probe_Status
5,0.573349505,274.3815011,797.4651229,normal
5.1,0.579714666,,797.4071515,normal
5.2,0.515812438,284.337745,797.3555702,normal
5.3,0.426259924,345.6302523,797.3129442,normal
5.4,0.44440687,294.8378106,797.2685035,normal
5.5,0.525239146,365.3208339,797.2159796,normal
5.6,0.434078295,377.4658017,797.1725718,normal
5.7,0.612562323,294.675346,797.1113156,normal
5.8,0.509388561,406.5028198,797.0603767,normal
5.9,0.645477724,266.4788964,796.9958289,normal
6,0.484112424,372.1779203,796.9474177,normal
6.1,0.472057351,375.5821446,796.9002119,normal
6.2,0.477461842,289.2370122,796.8524658,normal
6.3,0.549104736,270.7619428,796.7975553,normal
6.4,0.468285296,368.3222292,796.7507268,normal
6.5,0.46698879,295.0662796,796.7040279,normal
6.6,0.729612975,289.8291127,796.6310666,normal
6.7,0.533062718,303.320788,,faulty
6.8,0.408155538,315.5486843,796.5369448,normal
6.9,0.646379371,278.5470294,796.4723068,normal
7,0.365850673,269.8300047,796.4357218,normal
7.1,0.345529376,409.4247622,796.4011688,normal
7.2,0.713275367,284.9239445,796.3298413,normal
7.3,0.501599225,287.2643945,796.2796814,normal
7.4,0.575487645,278.3857809,796.2221326,normal
7.5,0.501437657,314.38176,796.1719888,normal
7.6,0.562835895,217.8271284,796.1157052,normal
7.7,0.615971668,262.0428117,796.0541081,normal
7.8,0.553889272,310.3174483,795.9987191,normal
7.9,0.520886412,245.1736505,795.9466305,normal
8,0.250364711,263.8182781,795.921594,normal
8.1,0.498844384,267.2145349,795.8717096,normal
8.2,0.420914156,318.9622356,795.8296182,normal
8.3,0.520157887,347.2277801,,faulty
8.4,0.694596687,374.3861863,795.7081427,normal
8.5,0.507338021,291.6879099,795.6574089,normal
8.6,0.54889157,284.5730554,795.6025198,normal
8.7,0.349619995,333.688387,,faulty
8.8,0.490900217,240.9453731,795.5184677,normal
8.9,0.547244702,278.9249876,795.4637433,normal
9,0.478091675,269.4996073,795.4159341,normal
9.1,0.331720853,378.9628402,795.382762,normal
9.2,0.465441931,293.7234931,795.3362178,normal
9.3,0.458094657,284.7973481,,faulty
9.4,0.462084741,376.0306238,795.2441999,normal
9.5,0.543732971,276.214182,795.1898266,normal
9.6,0.517724391,210.2734744,,faulty
9.7,0.56773943,234.8855507,795.0812802,normal
9.8,0.545857052,368.5105979,795.0266945,normal
9.9,0.609805528,208.4524881,794.9657139,normal
10,0.362294858,312.7001481,794.9294845,normal
10.1,0.468289409,263.3987832,794.8826555,normal
10.2,0.370913287,298.5246725,794.8455642,normal
10.3,0.554898891,340.6957156,794.7900743,normal
10.4,0.438258313,343.1930321,794.7462485,normal
10.5,0.5467222,365.1454192,794.6915762,normal
10.6,0.27243493,362.3008131,794.6643328,normal
10.7,0.442541241,295.6235168,794.6200786,normal
10.8,0.418367528,304.2053205,794.5782419,normal
10.9,0.564282219,355.8585406,794.5218137,normal
11,0.523203732,353.7883855,794.4694933,normal
11.1,0.510169482,319.553448,794.4184763,normal
11.2,0.442964681,321.2843537,794.3741799,normal
11.3,0.45267742,289.7075819,794.3289121,normal
11.4,0.546246762,345.1577371,794.2742874,normal
11.5,0.578517263,277.3347189,794.2164357,normal
11.6,0.462675838,288.0635805,794.1701681,normal
11.7,0.606811738,295.6695427,,faulty
11.8,0.463855259,322.3277861,,faulty
11.9,0.430230271,292.3778887,794.0200784,normal
12,0.486650936,298.8483818,,faulty
12.1,0.330752714,259.6020598,793.938338,normal
12.2,0.452849187,309.6382631,793.8930531,normal
12.3,0.486764018,293.4635591,793.8443767,normal
12.4,0.541087109,267.3261178,793.790268,normal
12.5,0.295114797,312.995472,793.7607565,normal
12.6,0.640890506,347.3349383,,faulty
12.7,0.648738263,327.6491379,,faulty
12.8,0.534529134,215.3526681,,faulty
12.9,0.559774654,378.2688348,793.5223633,normal
13,0.474239054,312.7186315,793.4749394,normal
13.1,0.375615172,241.3112427,,faulty
13.2,0.453511116,338.6252912,793.3920267,normal
13.3,0.639692403,319.0693246,793.3280575,normal
13.4,0.342404371,295.8842014,793.2938171,normal
13.5,0.368898871,350.4165185,,faulty
13.6,0.722726657,327.9856778,793.1846545,normal
13.7,0.703948832,241.4990745,,faulty
13.8,0.342029727,302.6520148,793.0800567,normal
13.9,0.465874913,291.8043392,793.0334692,normal
14,0.438653902,308.3039942,792.9896038,normal
14.1,0.439370995,355.2948498,792.9456667,normal
14.2,0.377380292,243.4747921,792.9079286,normal
14.3,0.523525763,258.1924741,792.8555761,normal
14.4,0.536474677,331.3826485,792.8019286,normal
14.5,0.506513753,261.0002457,792.7512772,normal
14.6,0.571742682,259.8370546,,faulty
14.7,0.543863949,300.0916148,792.6397166,normal
14.8,0.629588918,345.11746,,faulty
14.9,0.632192631,264.151729,792.5135384,normal
15,0.480311269,310.4392662,,faulty
15.1,0.571160548,,,faulty
15.2,0.631468845,289.3956942,792.3452443,normal
15.3,0.503658637,301.5717085,792.2948785,normal
15.4,0.434323535,233.2518729,792.2514461,normal
15.5,0.343660144,265.8823466,792.2170801,normal
15.6,0.457066768,270.5522306,792.1713734,normal
15.7,0.603107028,359.4405288,792.1110627,normal
15.8,0.484892613,222.18693,792.0625735,normal
15.9,0.630001012,377.1334468,791.9995734,normal
16,0.362473061,303.9038695,791.9633261,normal
16.1,0.474967146,255.080156,,faulty
16.2,0.44417786,363.8812228,791.8714116,normal
16.3,0.559672562,222.7321818,791.8154443,normal
16.4,0.361799844,268.193833,791.7792643,normal
16.5,0.603116303,300.4423563,791.7189527,normal
16.6,0.412209194,288.9883008,791.6777318,normal
16.7,0.471273952,348.8569395,791.6306044,normal
16.8,0.629239692,305.3419296,791.5676804,normal
16.9,0.3367697,237.7315708,791.5340034,normal
17,0.580361153,263.3231665,,faulty
17.1,0.308490493,322.2133078,791.4451183,normal
17.2,0.500131573,273.3788717,791.3951051,normal
17.3,0.616943938,400.6505598,791.3334107,normal
17.4,0.503404776,400.6459653,791.2830702,normal
17.5,0.712698766,329.0126487,791.2118004,normal
17.6,0.327183461,243.8484374,791.179082,normal
17.7,0.612875315,220.8741247,791.1177945,normal
17.8,0.614950033,240.3389781,,faulty
17.9,0.473147971,315.2404752,791.0089847,normal
18,0.482515156,212.6885737,790.9607332,normal
18.1,0.356046303,270.6943791,,faulty
18.2,0.623962976,342.3874662,790.8627322,normal
18.3,0.536732456,295.1796287,790.809059,normal
18.4,0.387361546,391.6490441,,faulty
18.5,0.593045173,333.9637198,790.7110183,normal
18.6,0.611966346,353.5662497,,faulty
18.7,0.414593375,253.3383214,,faulty
18.8,0.591370144,281.4267975,790.5492253,normal
18.9,0.592858992,280.2257269,790.4899394,normal
19,0.522519678,313.6546428,790.4376875,normal
19.1,0.374245448,310.8261046,790.4002629,normal
19.2,0.351469516,341.1060225,790.365116,normal
19.3,0.447898726,328.004425,790.3203261,normal
19.4,0.568479733,315.8149222,790.2634781,normal
19.5,0.339966471,182.5328344,790.2294815,normal
19.6,0.475544384,191.3875605,790.181927,normal
19.7,0.432568723,259.524453,790.1386702,normal
19.8,0.567022363,255.6337303,790.0819679,normal
19.9,0.55867924,354.365257,790.0261,normal
20,0.372300367,266.8516431,789.98887,normal
20.1,0.500925024,311.3781086,789.9387775,normal
20.2,0.551513685,348.488675,789.8836261,normal
20.3,0.455286415,176.6828883,789.8380975,normal
20.4,0.404291983,294.6809619,,faulty
20.5,0.491983504,298.0162546,,faulty
20.6,0.589035617,318.4008661,789.6895664,normal
20.7,0.576083026,325.8725782,789.6319581,normal
20.8,0.408720691,299.8842893,789.591086,normal
20.9,0.475155383,234.9087348,789.5435704,normal
21,0.504865383,341.914381,789.4930839,normal
21.1,0.546430358,296.9360857,789.4384409,normal
21.2,0.657233708,326.19524,789.3727175,normal
21.3,0.649878695,347.625932,789.3077296,normal
21.4,0.602374537,274.5910407,789.2474922,normal
21.5,0.461826378,203.6615954,789.2013095,normal
21.6,0.599823448,267.9689807,789.1413272,normal
21.7,0.355551857,348.9461178,789.105772,normal
21.8,0.55118276,310.6044159,,faulty
21.9,0.709857903,369.0790171,788.9796679,normal
22,0.631468267,380.7684927,788.9165211,normal
22.1,0.652612044,318.641027,788.8512599,normal
22.2,0.446567271,,788.8066032,normal
22.3,0.454812289,343.7440468,788.761122,normal
22.4,0.342274183,328.2655258,788.7268945,normal
22.5,0.609898225,305.4510224,788.6659047,normal
22.6,0.525454269,266.9898566,788.6133593,normal
22.7,0.529981408,302.1362435,,faulty
22.8,0.554784298,258.7316374,788.5048827,normal
22.9,0.50463697,322.4773639,788.454419,normal
23,0.606789786,255.5854779,788.39374,normal
23.1,0.568057936,325.4482789,788.3369343,normal
23.2,0.693867599,257.9812326,788.2675475,normal
23.3,0.630341804,329.6474311,788.2045133,normal
23.4,0.563324961,284.2554887,788.1481808,normal
23.5,0.436760891,246.6362383,788.1045047,normal
23.6,0.446367669,273.1918683,788.059868,normal
23.7,0.416128393,323.9651056,788.0182551,normal
23.8,0.511995616,271.9423103,787.9670556,normal
23.9,0.281795999,254.4739311,787.938876,normal
24,0.524204452,287.0130894,787.8864555,normal
24.1,0.266781893,272.3293453,787.8597773,normal
24.2,0.572172445,434.7699953,787.8025601,normal
24.3,0.512805145,,787.7512796,normal
24.4,0.543301944,371.8794015,787.6969494,normal
24.5,0.501212801,239.2858627,787.6468281,normal
24.6,0.511807396,248.6233943,787.5956473,normal
24.7,0.413633759,266.3292717,,faulty
24.8,0.453995872,375.518426,787.5088844,normal
24.9,0.550439262,262.3657963,787.4538405,normal
25,0.453888256,299.6088352,787.4084516,normal
25.1,0.517684887,310.313088,787.3566831,normal
25.2,0.536255965,279.9186336,787.3030575,normal
25.3,0.532190589,309.0309654,,faulty
25.4,0.397632088,296.0608948,,faulty
25.5,0.545035006,,787.1555718,normal
25.6,0.372568978,231.7254289,787.1183149,normal
25.7,0.505828957,305.6293573,787.067732,normal
25.8,0.494107903,204.9920067,787.0183212,normal
25.9,0.561900154,245.8516015,786.9621312,normal
26,0.625095255,286.2337264,786.8996217,normal
26.1,0.56653023,252.0125069,786.8429686,normal
26.2,0.339276493,304.8821429,,faulty
26.3,0.526147572,321.6060471,,faulty
26.4,0.529761093,261.1134719,786.7034501,normal
26.5,0.505149533,,786.6529352,normal
26.6,0.409674877,342.4478809,786.6119677,normal
26.7,0.422273726,432.9084318,,faulty
26.8,0.628292409,349.7432652,786.5069111,normal
26.9,0.362731117,342.5325234,786.470638,normal
27,0.548976569,237.0172268,786.4157403,normal
27.1,0.420609543,174.4937845,786.3736793,normal
27.2,0.498839008,219.3626701,786.3237954,normal
27.3,0.495578855,248.2898258,,faulty
27.4,0.52446597,248.7591032,786.221791,normal
27.5,0.493812347,333.3593775,786.1724097,normal
27.6,0.47646414,276.2684065,786.1247633,normal
27.7,0.416208903,237.8463073,786.0831424,normal
27.8,0.365412971,282.6665484,786.0466011,normal
27.9,0.420864062,288.122274,,faulty
28,0.551296555,315.9310444,785.9493851,normal
28.1,0.436735713,318.6871068,785.9057115,normal
28.2,0.45724357,291.688816,785.8599871,normal
28.3,0.583271172,336.011651,785.80166,normal
28.4,0.528020685,270.4152915,785.7488579,normal
28.5,0.623410438,281.5745391,785.6865169,normal
28.6,0.533189283,364.2111738,,faulty
28.7,0.475050014,361.3681233,785.585693,normal
28.8,0.345169533,251.675964,785.551176,normal
28.9,0.5278253,382.9229874,,faulty
29,0.706442919,312.974922,,faulty
29.1,0.545239799,200.733388,,faulty
29.2,0.624817027,242.89266,,faulty
29.3,0.463806472,280.2558181,785.2643629,normal
29.4,0.539658566,252.7726013,785.210397,normal
29.5,0.751761241,292.0969225,,faulty
29.6,0.480312553,144.3757971,785.0871896,normal
29.7,0.305254722,273.604665,785.0566642,normal
29.8,0.459760261,232.6004961,785.0106881,normal
29.9,0.615263402,,784.9491618,normal
30,0.545296383,345.0017262,,faulty
30.1,0.411344681,355.4550335,784.8534977,normal
30.2,0.51716843,275.8826402,784.8017808,normal
30.3,0.576071019,343.5900059,784.7441737,normal
30.4,0.347154759,319.108599,784.7094583,normal
30.5,0.732825558,337.5927281,784.6361757,normal
30.6,0.434328697,211.6727459,784.5927428,normal
30.7,0.510386006,351.2688358,784.5417042,normal
30.8,0.655995161,281.5849189,784.4761047,normal
30.9,0.552887641,248.4356908,,faulty
31,0.462736318,343.9525815,784.3745423,normal
31.1,0.598632071,310.3427712,784.3146791,normal
31.2,0.440905843,,784.2705885,normal
31.3,0.481009304,301.6693614,784.2224876,normal
31.4,0.617281061,309.1454504,784.1607595,normal
31.5,0.382938386,357.0955204,784.1224657,normal
31.6,0.460862217,301.8713242,784.0763794,normal
31.7,0.395371225,280.2737772,784.0368423,normal
31.8,0.556273639,295.9459315,783.981215,normal
31.9,0.530460066,343.9387325,,faulty
32,0.442492377,331.0813041,783.8839197,normal
32.1,0.445943749,286.3260408,783.8393253,normal
32.2,0.553890511,292.5537929,,faulty
32.3,0.316430491,267.9116053,783.7522932,normal
32.4,0.460058517,271.0390181,783.7062874,normal
32.5,0.518995796,270.2007849,783.6543878,normal
32.6,0.507569375,380.5318982,783.6036309,normal
32.7,0.386549789,325.3580362,783.5649759,normal
32.8,0.44577102,297.386202,,faulty
32.9,0.439767816,240.0033555,,faulty
33,0.515206992,270.8655152,,faulty
33.1,0.564463097,335.9065144,783.368455,normal
33.2,0.625830499,338.5967118,783.3058719,normal
33.3,0.388107832,265.3765919,783.2670612,normal
33.4,0.487671555,299.8807545,783.218294,normal
33.5,0.383851801,211.8165632,783.1799088,normal
33.6,0.401436366,301.1375875,783.1397652,normal
33.7,0.63831383,314.7115346,783.0759338,normal
33.8,0.585250054,347.412438,783.0174088,normal
33.9,0.557931736,,782.9616156,normal
34,0.504712178,253.643243,,faulty
34.1,0.581674043,285.9528283,782.852977,normal
34.2,0.349939798,299.8539188,782.817983,normal
34.3,0.378509567,338.874484,782.7801321,normal
34.4,0.49798356,365.5797073,782.7303337,normal
34.5,0.6105568,257.4429835,,faulty
34.6,0.624995213,271.7915669,782.6067785,normal
34.7,0.467568511,264.6541999,782.5600217,normal
34.8,0.420527075,333.3450694,782.517969,normal
34.9,0.570098508,287.9022779,,faulty
35,0.355059561,,,faulty
35.1,0.432949614,326.1678247,,faulty
35.2,0.648242329,156.3227311,782.3173339,normal
35.3,0.395184397,263.2904503,782.2778155,normal
35.4,0.265425833,294.5258692,782.2512729,normal
35.5,0.329540828,,782.2183188,normal
35.6,0.482433338,343.1997936,782.1700755,normal
35.7,0.50885885,338.6505912,782.1191896,normal
35.8,0.555362092,282.3839374,782.0636534,normal
35.9,0.487766676,,782.0148767,normal
36,0.461577167,325.6157472,,faulty
36.1,0.629398593,288.7293482,781.9057792,normal
36.2,0.5029795,288.9402409,781.8554812,normal
36.3,0.346167131,337.8277138,781.8208645,normal
36.4,0.518908131,281.6424979,781.7689737,normal
36.5,0.566069521,239.9739324,781.7123667,normal
36.6,0.519341364,371.7364463,781.6604326,normal
36.7,0.491561537,276.4231344,781.6112765,normal
36.8,0.562708313,352.7193883,781.5550056,normal
36.9,0.538916098,239.5270241,,faulty
37,0.603582497,350.4650638,781.4407558,normal
37.1,0.307052596,229.1904697,781.4100505,normal
37.2,0.362239074,357.3212036,,faulty
37.3,0.326908321,223.4242271,781.3411358,normal
37.4,0.425569482,281.9578649,781.2985788,normal
37.5,0.675736652,249.8787452,781.2310052,normal
37.6,0.57269818,226.3263022,,faulty
37.7,0.534033493,244.3725291,781.120332,normal
37.8,0.516669829,260.0099256,781.068665,normal
37.9,0.60308692,359.3709448,781.0083563,normal
38,0.58953454,284.9531165,780.9494029,normal
38.1,0.576054126,305.1858589,,faulty
38.2,0.598624255,318.4725371,780.831935,normal
38.3,0.420786961,352.7053494,,faulty
38.4,0.571673689,266.6752988,780.732689,normal
38.5,0.623235644,251.1987145,,faulty
38.6,0.537783666,230.3819862,,faulty
38.7,0.453970399,280.2442961,780.57119,normal
38.8,0.368045691,304.8872082,780.5343854,normal
38.9,0.461470503,221.8792545,780.4882384,normal
39,0.321644104,310.5338606,780.456074,normal
39.1,0.506100938,294.9759532,,faulty
39.2,0.520456581,294.5300585,780.3534182,normal
39.3,0.48887898,287.5586504,780.3045303,normal
39.4,0.525090195,232.4046924,780.2520213,normal
39.5,0.353274654,346.1305565,780.2166938,normal
39.6,0.648411961,263.6186144,,faulty
39.7,0.442908686,,780.1075618,normal
39.8,0.468579496,272.7261051,780.0607038,normal
39.9,0.459001423,208.6569355,780.0148037,normal
40,0.569927286,343.5496424,779.9578109,normal
40.1,0.3809663,365.1652974,,faulty
40.2,0.43133436,305.0900503,779.8765809,normal
40.3,0.338017,241.2054681,779.8427792,normal
40.4,0.38147184,281.3450985,779.804632,normal
40.5,0.331595625,329.115434,779.7714724,normal
40.6,0.366692817,275.3565871,,faulty
40.7,0.495688168,332.579747,,faulty
40.8,0.614901566,296.2336929,779.6237442,normal
40.9,0.48720486,227.0849789,779.5750237,normal
41,0.650078887,272.3055494,779.5100158,normal
41.1,0.368537448,415.4033438,779.473162,normal
41.2,0.517222783,204.8512717,779.4214398,normal
41.3,0.549996394,292.359819,779.3664401,normal
41.4,0.572480064,210.6265921,,faulty
41.5,0.480230019,307.8285306,779.2611691,normal
41.6,0.605675409,316.1624823,779.2006016,normal
41.7,0.536579345,336.8546527,779.1469436,normal
41.8,0.419286086,301.0218799,779.105015,normal
41.9,0.540665968,282.8345963,779.0509484,normal
42,0.545848224,212.2093196,,faulty
42.1,0.46783249,271.7552653,778.9495804,normal
42.2,0.518747321,319.9568495,778.8977056,normal
42.3,0.347349272,247.2157517,778.8629707,normal
42.4,0.416270612,271.1003948,778.8213436,normal
42.5,0.555918499,282.6420496,778.7657518,normal
42.6,0.534620524,328.778442,778.7122897,normal
42.7,0.546202215,363.1171219,778.6576695,normal
42.8,0.460190936,341.4772507,,faulty
42.9,0.637145988,287.650373,778.5479358,normal
43,0.370724857,183.9524669,778.5108633,normal
43.1,0.434517856,319.9025473,778.4674116,normal
43.2,0.672851247,222.1435586,778.4001264,normal
43.3,0.582459724,330.9449617,778.3418805,normal
43.4,0.513051852,274.1994523,778.2905753,normal
43.5,0.269385278,385.9979161,778.2636367,normal
43.6,0.390584465,319.5585731,778.2245783,normal
43.7,0.458357102,249.5773143,778.1787426,normal
43.8,0.548248579,364.1251085,778.1239177,normal
43.9,0.503785761,280.3677336,778.0735392,normal
44,0.591727001,247.3277628,778.0143665,normal
44.1,0.517634232,260.2649466,,faulty
44.2,0.737093055,216.2563897,777.8888937,normal
44.3,0.385970915,202.7202378,777.8502966,normal
44.4,0.528903504,265.3730243,777.7974063,normal
44.5,0.366267719,305.1986085,777.7607795,normal
44.6,0.516387479,347.5891814,777.7091408,normal
44.7,0.363110316,284.0631321,,faulty
44.8,0.585744314,294.0707494,,faulty
44.9,0.492919917,324.4945591,777.5649633,normal
45,0.558231363,349.274793,777.5091402,normal
45.1,0.333999091,156.6101443,777.4757403,normal
45.2,0.504389691,380.7444102,777.4253013,normal
45.3,0.612939344,275.8071053,,faulty
45.4,0.374526713,251.5201471,,faulty
45.5,0.629305315,314.6494163,,faulty
45.6,0.538027962,346.6160737,,faulty
45.7,0.560171171,175.5799653,777.1538042,normal
45.8,0.600538623,228.4577011,,faulty
45.9,0.595699387,363.2588655,,faulty
46,0.496417947,270.2028879,776.9845386,normal
46.1,0.548432452,231.6597123,,faulty
46.2,0.375576797,339.2623147,776.8921377,normal
46.3,0.513786597,260.2357236,776.8407591,normal
46.4,0.440685417,291.5477745,776.7966905,normal
46.5,0.340582779,320.6800135,776.7626322,normal
46.6,0.34513866,330.0802658,776.7281184,normal
46.7,0.512023627,325.0795612,776.676916,normal
46.8,0.434750491,279.1176404,776.633441,normal
46.9,0.493881688,,776.5840528,normal
47,0.518659976,329.0902996,776.5321868,normal
47.1,0.334462273,287.9167811,776.4987406,normal
47.2,0.367466648,305.0808897,776.4619939,normal
47.3,0.545684721,299.887002,776.4074254,normal
47.4,0.557106271,333.1024191,776.3517148,normal
47.5,0.468122921,275.9420958,,faulty
47.6,0.559992983,283.7073159,776.2489032,normal
47.7,0.53502092,178.6337764,,faulty
47.8,0.518795076,282.735246,776.1435216,normal
47.9,0.569396499,250.0174969,776.086582,normal
48,0.456409776,,776.040941,normal
48.1,0.485544812,303.9292999,775.9923865,normal
48.2,0.64900064,342.5384989,775.9274864,normal
48.3,0.467100424,293.8250395,775.8807764,normal
48.4,0.464733331,351.5693973,775.8343031,normal
48.5,0.495729027,246.9502726,775.7847302,normal
48.6,0.295513673,270.8334238,775.7551788,normal
48.7,0.366846537,248.3171641,,faulty
48.8,0.443317824,327.0041017,,faulty
48.9,0.47569605,238.3339831,775.6265928,normal
49,0.439060058,256.657259,775.5826868,normal
49.1,0.545152871,227.0102256,,faulty
49.2,0.610393057,375.1099409,,faulty
49.3,0.462241348,314.3954591,775.420908,normal
49.4,0.562078268,288.3524043,775.3647002,normal
49.5,0.241594254,339.6567132,775.3405408,normal
49.6,0.484242192,310.8090935,775.2921166,normal
49.7,0.434694898,,775.2486471,normal
49.8,0.576459874,340.1950986,,faulty
49.9,0.546820408,357.2747643,,faulty
50,0.5875361,301.7553763,775.0775654,normal
50.1,0.551457509,296.6131272,775.0224197,normal
50.2,0.326819663,368.2545163,774.9897377,normal
50.3,0.387727922,,774.9509649,normal
50.4,0.478383656,304.7218792,774.9031266,normal
50.5,0.526744845,289.9918055,774.8504521,normal
50.6,0.467339579,311.267326,774.8037181,normal
50.7,0.507876103,356.7322708,774.7529305,normal
50.8,0.460198466,411.399648,774.7069107,normal
50.9,0.397851322,323.9947059,774.6671255,normal
51,0.507001607,238.3675197,774.6164254,normal
51.1,0.45078676,397.9246857,774.5713467,normal
51.2,0.36273686,391.8226209,774.535073,normal
51.3,0.614680745,209.8619486,774.4736049,normal
51.4,0.525122613,328.243214,,faulty
51.5,0.262193028,240.3097382,774.3948734,normal
51.6,0.300913286,378.2874525,774.364782,normal
51.7,0.512228181,346.7543518,774.3135592,normal
51.8,0.313199679,384.4748135,774.2822392,normal
51.9,0.393915832,366.5325397,774.2428477,normal
52,0.452557162,267.2240872,,faulty
52.1,0.496360242,352.5716694,774.1479559,normal
52.2,0.488263515,351.1047055,774.0991296,normal
52.3,0.484399509,307.7254408,774.0506896,normal
52.4,0.525515387,324.9147858,773.9981381,normal
52.5,0.532116224,303.2648682,773.9449265,normal
52.6,0.65108441,311.0016878,773.879818,normal
52.7,0.490368533,287.653144,773.8307812,normal
52.8,0.498697442,221.0528027,773.7809114,normal
52.9,0.527169697,304.9353329,,faulty
53,0.379988807,355.4911111,,faulty
53.1,0.474209772,301.6211833,773.6427746,normal
53.2,0.501066061,287.4862998,773.592668,normal
53.3,0.445064898,252.4812932,773.5481615,normal
53.4,0.560661446,329.038675,773.4920954,normal
53.5,0.382210766,232.9751266,,faulty
53.6,0.428684151,273.2213529,773.4110059,normal
53.7,0.509288962,266.2751044,,faulty
53.8,0.608004376,352.0892869,773.2992765,normal
53.9,0.439512657,285.126314,773.2553253,normal
54,0.626934352,274.7062354,773.1926318,normal
54.1,0.454265365,325.9714559,773.1472053,normal
54.2,0.556257268,292.8542511,773.0915796,normal
54.3,0.499666522,310.1990666,773.0416129,normal
54.4,0.277143425,285.9363859,773.0138986,normal
54.5,0.514223833,291.1991503,,faulty
54.6,0.441791969,334.8992669,,faulty
54.7,0.478228116,315.4854848,772.8704742,normal
54.8,0.429697964,368.6665965,772.8275044,normal
54.9,0.563788571,220.409533,,faulty
55,0.600314222,336.6658078,772.7110941,normal
55.1,0.610213655,314.0901856,772.6500727,normal
55.2,0.358543709,270.4527522,,faulty
55.3,0.537182285,302.2314339,772.5605001,normal
55.4,0.53992529,311.6640693,772.5065076,normal
55.5,0.649306597,377.8188245,772.4415769,normal
55.6,0.544533613,323.0504111,772.3871236,normal
55.7,0.632135764,245.3836447,772.32391,normal
55.8,0.555562592,245.3400211,772.2683538,normal
55.9,0.494237368,263.5320097,772.21893,normal
56,0.296221018,265.3941183,772.1893079,normal
56.1,0.510913403,309.8574242,772.1382166,normal
56.2,0.52244995,357.5989806,772.0859716,normal
56.3,0.436690534,280.5201164,772.0423025,normal
56.4,0.459487718,389.8363483,,faulty
56.5,0.659373761,336.1059406,771.9304164,normal
56.6,0.418574463,319.2259909,771.8885589,normal
56.7,0.365378125,306.2136632,771.8520211,normal
56.8,0.4978171,280.4687064,,faulty
56.9,0.529007227,189.8335651,771.7493387,normal
57,0.533728771,330.704225,771.6959658,normal
57.1,0.476003158,272.4962178,,faulty
57.2,0.608089839,339.9465115,,faulty
57.3,0.423689023,276.0945681,771.5451876,normal
57.4,0.541243998,278.5418954,771.4910632,normal
57.5,0.428694654,216.6523541,771.4481937,normal
57.6,0.511196208,303.1731276,771.3970741,normal
57.7,0.552941485,350.1473139,771.34178,normal
57.8,0.63548576,384.1844283,771.2782314,normal
57.9,0.592614107,380.1119176,,faulty
58,0.488547212,262.1215317,771.1701153,normal
58.1,0.550532677,320.1176292,771.115062,normal
58.2,0.619919034,350.0723762,771.0530701,normal
58.3,0.43545619,,771.0095245,normal
58.4,0.686583462,337.2187692,770.9408661,normal
58.5,0.633755097,237.75867,770.8774906,normal
58.6,0.352791851,282.0714781,,faulty
